"word";"base_word"
"a";"a"
"aa";"aa"
"aaa";"aaa"
"aaab";"aaab"
"aaam";"aaam"
"aab";"aab"
"aabi";"aabi"
"aac";"aac"
"aacc";"aacc"
"aachen";"aachen"
"aacra";"aacra"
"aad";"aad"
"aada";"aada"
"aadc";"aadc"
"aadhil";"aadhil"
"aadk";"aadk"
"aafaaka";"aafaaka"
"aafaani";"aafaani"
"aafaanii";"aafaanii"
"aafaits";"aafaits"
"aafihii";"aafihii"
"aafiinii";"aafiinii"
"aafinii";"aafinii"
"aafiyatan";"aafiyatan"
"aagn";"aagn"
"aagym";"aagym"
"aah";"aah"
"aahmad";"aahmad"
"aai";"aai"
"aaikum";"aaikum"
"aaja";"aaja"
"aajd";"aajd"
"aakami";"aakami"
"aakan";"aakan"
"aakhir";"aakhir"
"aakhirati";"aakhirati"
"aakhirohu";"aakhirohu"
"aaktifitas";"aaktifitas"
"aal";"aal"
"aala";"aala"
"aalaa";"aalaa"
"aalaajadduka";"aalaajadduka"
"aalah";"aalah"
"aalamiin";"aalamiin"
"aalamiina";"aalamiina"
"aalat";"aalat"
"aali";"aali"
"aalihi";"aalihi"
"aalihii";"aalihii"
"aalii";"aalii"
"aalima";"aalima"
"aam";"aam"
"aamantu";"aamantu"
"aamiiiin";"aamiiiin"
"aamiin";"aamiin"
"aamiinn";"aamiinn"
"aamin";"aamin"
"aampai";"aampai"
"aamun";"aamun"
"aan";"aan"
"aana";"aana"
"aanah";"aanah"
"aanda";"aanda"
"aang";"aang"
"aanmaning";"aanmaning"
"aantar";"aantar"
"aanusia";"aanusia"
"aap";"aap"
"aapa";"aapa"
"aapsi";"aapsi"
"aarah";"aarah"
"aarm";"aarm"
"aaron";"aaron"
"aas";"aas"
"aasam";"aasam"
"aasan";"aasan"
"aat";"aat"
"aatau";"aatau"
"aathar";"aathar"
"aathp";"aathp"
"aati";"aati"
"aatin";"aatin"
"aatinaa";"aatinaa"
"aatinii";"aatinii"
"aatu";"aatu"
"aau";"aau"
"aauo";"aauo"
"aaupb";"aaupb"
"aay";"aay"
"aaya";"aaya"
"aazzahra";"aazzahra"
"ab";"ab"
"aba";"aba"
"abaalkhail";"abaalkhail"
"abaamz";"abaamz"
"abab";"abab"
"ababa";"ababa"
"ababi";"ababi"
"ababs";"ababs"
"abacus";"abacus"
"abad";"abad"
"abadan";"abad"
"abadi";"abadi"
"abadikan";"abadi"
"abadiyyul";"abadiyyul"
"abadnya";"abad"
"abadul";"abadul"
"abady";"abady"
"abagil";"abagil"
"abah";"abah"
"abahnya";"abah"
"abai";"abai"
"abaidata";"abaidata"
"abaikan";"abai"
"abainya";"abai"
"abak";"abak"
"abakar";"abakar"
"abal";"abal"
"abandon";"abandon"
"abang";"abang"
"abangan";"abangan"
"abangnya";"abang"
"abas";"abas"
"abasa";"abasa"
"abasah";"abasah"
"abast";"abast"
"abate";"abate"
"abattoir";"abattoir"
"abay";"abay"
"abb";"abb"
"abba";"abba"
"abbad";"abbad"
"abbar";"abbar"
"abbas";"abbas"
"abbasiyah";"abbasiyah"
"abbata";"abbata"
"abbd";"abbd"
"abbey";"abbey"
"abbit";"abbit"
"abbott";"abbott"
"abbudanaa";"abbudanaa"
"abby";"abby"
"abc";"abc"
"abcd";"abcd"
"abcgm";"abcgm"
"abd";"abd"
"abda";"abda"
"abdah";"abdah"
"abdal";"abdal"
"abdalla";"abdalla"
"abdallah";"abdallah"
"abdan";"abdan"
"abdar";"abdar"
"abdee";"abdee"
"abdel";"abdel"
"abdelaziz";"abdelaziz"
"abdelkafi";"abdelkafi"
"abdelmoneim";"abdelmoneim"
"abderahman";"abderahman"
"abdi";"abdi"
"abdiansyah";"abdiansyah"
"abdibraya";"abdibraya"
"abdiel";"abdiel"
"abdil";"abdil"
"abdilah";"abdi"
"abdilhu";"abdilhu"
"abdillah";"abdillah"
"abdimas";"abdimas"
"abdipertiwi";"abdipertiwi"
"abdirrahman";"abdirrahman"
"abdisatrijo";"abdisatrijo"
"abdiwijaya";"abdiwijaya"
"abdjad";"abdjad"
"abdoellah";"abdoellah"
"abdollah";"abdollah"
"abdomen";"abdomen"
"abdorrahman";"abdorrahman"
"abdsakur";"abdsakur"
"abdsurd";"abdsurd"
"abdu";"abdu"
"abduh";"abduh"
"abduhu";"abduhu"
"abduk";"abduk"
"abduka";"abduka"
"abdul";"abdul"
"abdulah";"abdu"
"abdulatip";"abdulatip"
"abdulaziz";"abdulaziz"
"abdulbar";"abdulbar"
"abdulbasir";"abdulbasir"
"abdulgani";"abdulgani"
"abdulhadi";"abdulhadi"
"abdulkadir";"abdulkadir"
"abdulkadirkarding";"abdulkadirkarding"
"abdull";"abdull"
"abdulla";"abdulla"
"abdullah";"abdullah"
"abdullatif";"abdullatif"
"abdulllah";"abdulllah"
"abdulloh";"abdulloh"
"abdulmadjid";"abdulmadjid"
"abdulmanan";"abdulmanan"
"abdulmohsin";"abdulmohsin"
"abdulqawi";"abdulqawi"
"abdulrachman";"abdulrachman"
"abdulrahim";"abdulrahim"
"abdulrahman";"abdulrahman"
"abdur";"abdur"
"abdurachman";"abdurachman"
"abdurahman";"abdurahman"
"abdurahmansaleh";"abdurahmansaleh"
"abdurahmat";"abdurahmat"
"abdurahmman";"abdurahmman"
"abdurakhman";"abdurakhman"
"abdurd";"abdurd"
"abdurochim";"abdurochim"
"abdurohim";"abdurohim"
"abdurohman";"abdurohman"
"abdurouf";"abdurouf"
"abdurrab";"abdurrab"
"abdurrachman";"abdurrachman"
"abdurrahim";"abdurrahim"
"abdurrahmah";"abdurrahmah"
"abdurrahman";"abdurrahman"
"abdurrais";"abdurrais"
"abdurrohim";"abdurrohim"
"abdurrohman";"abdurrohman"
"abdurrrahman";"abdurrrahman"
"abdus";"abdus"
"abdusalam";"abdusalam"
"abdussamad";"abdussamad"
"abdusshomad";"abdusshomad"
"abdusyukur";"abdusyukur"
"abdut";"abdut"
"abdy";"abdy"
"abdya";"abdya"
"abe";"abe"
"abed";"abed"
"abeder";"abeder"
"abee";"abee"
"abegabriel";"abegabriel"
"abegebrel";"abegebrel"
"abegebriel";"abegebriel"
"abeidi";"abeidi"
"abejaya";"abejaya"
"abel";"abel"
"abeli";"abeli"
"abelii";"abelii"
"abelux";"abelux"
"aben";"aben"
"abeng";"abeng"
"abenk";"abenk"
"abepura";"abepura"
"abera";"abera"
"aberasi";"aberasi"
"aberdeen";"aberdeen"
"aberha";"aberha"
"abet";"abet"
"abful";"abful"
"abg";"abg"
"abgcm";"abgcm"
"abgi";"abgi"
"abh";"abh"
"abha";"abha"
"abham";"abham"
"abhan";"abhan"
"abhisit";"abhisit"
"abi";"abi"
"abian";"abian"
"abiansemal";"abiansemal"
"abid";"abid"
"abideen";"abideen"
"abidin";"abidin"
"abie";"abie"
"abiezer";"abiezer"
"abik";"abik"
"abikoesno";"abikoesno"
"abiku";"abiku"
"abil";"abil"
"abilawa";"abilawa"
"ability";"ability"
"abilo";"abilo"
"abimana";"abimana"
"abimanyu";"abimanyu"
"abin";"abin"
"abinya";"abinya"
"abioso";"abioso"
"abipraya";"abipraya"
"abis";"abis"
"abisai";"abisai"
"abisasi";"abisasi"
"abisofyan";"abisofyan"
"abit";"abit"
"abiy";"abiy"
"abiyasa";"abiyasa"
"abiyoso";"abiyoso"
"abiyu";"abiyu"
"abizal";"abizal"
"abj";"abj"
"abjad";"abjad"
"abjul";"abjul"
"abk";"abk"
"abkar";"abkar"
"abl";"abl"
"able";"able"
"ableh";"ableh"
"ablum";"ablum"
"abm";"abm"
"abn";"abn"
"abner";"abner"
"abnormal";"abnormal"
"abnormalitas";"abnormalitas"
"abnul";"abnul"
"abnur";"abnur"
"abo";"abo"
"abock";"abock"
"abod";"abod"
"aboe";"aboe"
"abok";"abok"
"abolhassan";"abolhassan"
"abolisi";"abolisi"
"abon";"abon"
"abonella";"abonella"
"aborisi";"aborisi"
"aborsi";"aborsi"
"aborsinya";"aborsi"
"abort";"abort"
"aborted";"aborted"
"abortus";"abortus"
"aboru";"aboru"
"abou";"abou"
"abouammo";"abouammo"
"about";"about"
"aboutislam";"aboutislam"
"abp";"abp"
"abpbd";"abpbd"
"abpd";"abpd"
"abpdesa";"abpdesa"
"abpn";"abpn"
"abr";"abr"
"abraham";"abraham"
"abrakadabra";"abrakadabra"
"abrakadraba";"abrakadraba"
"abral";"abral"
"abraldani";"abraldani"
"abrams";"abrams"
"abrar";"abrar"
"abrasi";"abrasi"
"abrati";"abrati"
"abraw";"abraw"
"abreiu";"abreiu"
"abrek";"abrek"
"abri";"abri"
"abrianto";"abrianto"
"abriari";"abriari"
"abrijani";"abrijani"
"abrik";"abrik"
"abrin";"abrin"
"abrip";"abrip"
"abripda";"abripda"
"abriptu";"abriptu"
"abriyadi";"abriyadi"
"abriyanto";"abriyanto"
"abroad";"abroad"
"abror";"abror"
"abrus";"abrus"
"abs";"abs"
"absah";"absah"
"absar";"absar"
"absen";"absen"
"absennya";"absen"
"absensi";"absensi"
"absensinya";"absensi"
"absentia";"absentia"
"abshar";"abshar"
"absolut";"absolut"
"absolute";"absolute"
"absolutnya";"absolut"
"absorb";"absorb"
"abstain";"abstain"
"abstrak";"abstrak"
"abstraksi";"abstraksi"
"abstraksinya";"abstraksi"
"absurd";"absurd"
"abswedan";"abswedan"
"abt";"abt"
"abtar";"abtar"
"abu";"abu"
"abua";"abua"
"abuan";"abuan"
"abuba";"abuba"
"abubakar";"abubakar"
"abudance";"abudance"
"abudllah";"abudllah"
"abudrrahman";"abudrrahman"
"abudurekefu";"abudurekefu"
"abudzar";"abudzar"
"abuja";"abuja"
"abukasim";"abukasim"
"abukasu";"abukasu"
"abukhiori";"abukhiori"
"abukhoiri";"abukhoiri"
"abuki";"abuk"
"abukun";"abukun"
"abul";"abul"
"abulah";"abu"
"abullatif";"abullatif"
"abulyatama";"abulyatama"
"abumanan";"abumanan"
"abun";"abun"
"abunaim";"abunaim"
"abunawas";"abunawas"
"abunaws";"abunaws"
"abundance";"abundance"
"abung";"abung"
"abunya";"abu"
"abunyo";"abunyo"
"aburizal";"aburizal"
"aburizalbakrie";"aburizalbakrie"
"aburrahman";"aburrahman"
"abusama";"abusama"
"abuse";"abuse"
"abuserin";"abuserin"
"abussalam";"abussalam"
"abusyari";"abusyari"
"abutmen";"abutmen"
"abutuh";"abutuh"
"abuu";"abuu"
"abuya";"abuya"
"abuyarman";"abuyarman"
"abuzar";"abuzar"
"abuzi";"abuzi"
"abw";"abw"
"abwaaba";"abwaaba"
"abwaba";"abwaba"
"abyadhu";"abyadhu"
"abyadi";"abyad"
"abyoto";"abyoto"
"abypraya";"abypraya"
"abziwarti";"abziwarti"
"ac";"ac"
"aca";"aca"
"acacia";"acacia"
"academia";"academia"
"academic";"academic"
"academica";"academica"
"academy";"academy"
"acah";"acah"
"acak";"acak"
"acakan";"acak"
"acaman";"acaman"
"acamm";"acamm"
"acan";"acan"
"acang";"acang"
"acantophis";"acantophis"
"acap";"acap"
"acapkali";"acapkali"
"acar";"acar"
"acara";"acara"
"acarakan";"acara"
"acaranya";"acara"
"acarapun";"acara"
"acc";"acc"
"acca";"acca"
"acce";"acce"
"accelerate";"accelerate"
"acceleration";"acceleration"
"accelerator";"accelerator"
"acceptability";"acceptability"
"acceptance";"acceptance"
"accepted";"accepted"
"access";"access"
"accessibility";"accessibility"
"accessible";"accessible"
"accessment";"accessment"
"accessnya";"accessnya"
"acch";"acch"
"accident";"accident"
"accidental";"accidental"
"accompli";"accompli"
"accord";"accord"
"account";"account"
"accountabilitas";"accountabilitas"
"accountabilities";"accountabilities"
"accountability";"accountability"
"accountabiliy";"accountabiliy"
"accountable";"accountable"
"accountant";"accountant"
"accountants";"accountants"
"accounting";"accounting"
"accountnya";"accountnya"
"accounts";"accounts"
"accreditation";"accreditation"
"accu";"accu"
"accurate";"accurate"
"acd";"acd"
"ace";"ace"
"aceg";"aceg"
"aceh";"aceh"
"acehnese";"acehnese"
"acehnya";"acehnya"
"acena";"acena"
"aceng";"aceng"
"acep";"acep"
"acer";"acer"
"acf";"acf"
"acffest";"acffest"
"ach";"ach"
"acha";"acha"
"achamad";"achamad"
"achamd";"achamd"
"achari";"achari"
"achdar";"achdar"
"achdian";"achdian"
"achdiat";"achdiat"
"acheton";"acheton"
"achi";"achi"
"achieng";"achieng"
"achieve";"achieve"
"achievement";"achievement"
"achieving";"achieving"
"achirina";"achirina"
"achjani";"achjani"
"achmad";"achmad"
"achmadi";"achmadi"
"achmadzaky";"achmadzaky"
"achmar";"achmar"
"achmat";"achmat"
"achmed";"achmed"
"acho";"acho"
"achropoles";"achropoles"
"achsanul";"achsanul"
"achsin";"achsin"
"achwani";"achwani"
"achy";"achy"
"achyadi";"achyadi"
"achyani";"achyani"
"achyar";"achyar"
"achyarsyah";"achyarsyah"
"achzaab";"achzaab"
"achzaabi";"achzaabi"
"aci";"aci"
"acian";"aci"
"aciar";"aciar"
"acid";"acid"
"acidity";"acidity"
"acih";"acih"
"acil";"acil"
"acinonyx";"acinonyx"
"acip";"acip"
"acjc";"acjc"
"ack";"ack"
"acknowledge";"acknowledge"
"acl";"acl"
"aclc";"aclc"
"acmad";"acmad"
"aco";"aco"
"acon";"acon"
"acong";"acong"
"acp";"acp"
"acpa";"acpa"
"acpacc";"acpacc"
"acquaintance";"acquaintance"
"acquired";"acquired"
"acquisition";"acquisition"
"acquistion";"acquistion"
"acquital";"acquital"
"acquitted";"acquitted"
"acr";"acr"
"acrative";"acrative"
"acrc";"acrc"
"across";"across"
"acrux";"acrux"
"act";"act"
"acta";"acta"
"actaea";"actaea"
"actie";"actie"
"acting";"acting"
"action";"action"
"actionaid";"actionaid"
"actionnya";"actionnya"
"actions";"actions"
"activation";"activation"
"activism";"activism"
"activist";"activist"
"activities";"activities"
"activity";"activity"
"actnow";"actnow"
"acton";"acton"
"actor";"actor"
"actori";"actori"
"actors";"actors"
"actual";"actual"
"actuating";"actuating"
"actus";"actus"
"acu";"acu"
"acua";"acua"
"acuadra";"acuadra"
"acuan";"acu"
"acuandra";"acuandra"
"acuannya";"acu"
"acuh";"acuh"
"acuhnya";"acuh"
"acun";"acun"
"acung";"acung"
"acungan";"acung"
"acungi";"acung"
"acungkan";"acung"
"acungkannya";"acung"
"acus";"acus"
"acxeptance";"acxeptance"
"ad";"ad"
"ada";"ada"
"adaa";"adaa"
"adaah";"adaah"
"adaalah";"adaalah"
"adaan";"ada"
"adaapaditps";"adaapaditps"
"adaaya";"adaaya"
"adab";"adab"
"adabnya";"adab"
"adada";"adada"
"adaftif";"adaftif"
"adagium";"adagium"
"adah";"adah"
"adai";"ada"
"adaji";"adaji"
"adajuga";"adajuga"
"adakah";"ada"
"adakalanya";"adakalanya"
"adakan";"adakan"
"adakandidatnya";"adakandidatnya"
"adala";"adala"
"adalag";"adalag"
"adalah";"adalah"
"adalaha";"adalaha"
"adalahh";"adalahh"
"adalahkuhp";"adalahkuhp"
"adalahpengelola";"adalahpengelola"
"adalaiu";"adalaiu"
"adalalah";"adalalah"
"adalam";"adalam"
"adalan";"adalan"
"adalet";"adalet"
"adam";"adam"
"adamas";"adamas"
"adami";"adam"
"adams";"adams"
"adamski";"adamski"
"adamskyofficial";"adamskyofficial"
"adamyati";"adamyati"
"adan";"adan"
"adana";"adana"
"adanaya";"adanaya"
"adang";"adang"
"adania";"adania"
"adanna";"adanna"
"adannya";"adan"
"adanua";"adanua"
"adanya";"ada"
"adanyalah";"ada"
"adapaun";"adapaun"
"adaptasi";"adaptasi"
"adaptasinya";"adaptasi"
"adaptif";"adaptif"
"adaptor";"adaptor"
"adapu";"adapu"
"adapula";"adapula"
"adapun";"adapun"
"adapunsandiaga";"adapunsandiaga"
"adar";"adar"
"adara";"adara"
"adarma";"adarma"
"adaro";"adaro"
"adart";"adart"
"adas";"adas"
"adat";"adat"
"adati";"adati"
"adatlah";"adat"
"adatnya";"adat"
"adatrecht";"adatrecht"
"adaud";"adaud"
"adawi";"adawi"
"adawia";"adawia"
"adawiyah";"adawiyah"
"adaya";"adaya"
"adb";"adb"
"adc";"adc"
"adca";"adca"
"adcp";"adcp"
"add";"add"
"addani";"addani"
"addarqutni";"addarqutni"
"addaruqutni";"addaruqutni"
"adde";"adde"
"added";"added"
"addendum";"addendum"
"adder";"adder"
"addi";"addi"
"addie";"addie"
"addiems";"addiems"
"addiniyah";"addiniyah"
"addiqal";"addiqal"
"addis";"addis"
"additional";"additional"
"addres";"addres"
"address";"address"
"addressed";"addressed"
"addressing";"addressing"
"addud";"addud"
"ade";"ade"
"adedanmas";"adedanmas"
"adefri";"adefri"
"adegan";"adegan"
"adegannya";"adegan"
"adeging";"adeging"
"adek";"adek"
"adeka";"adeka"
"adekku";"adekku"
"adeknya";"adeknya"
"adel";"adel"
"adela";"adela"
"adelaide";"adelaide"
"adeleus";"adeleus"
"adelia";"adelia"
"adelin";"adelin"
"adelina";"adelina"
"adeline";"adeline"
"adelis";"adelis"
"adella";"adella"
"adellawibawa";"adellawibawa"
"adelle";"adelle"
"adem";"adem"
"ademnya";"adem"
"ademokrasi";"ademokrasi"
"aden";"aden"
"adenan";"adenan"
"adendum";"adendum"
"adeney";"adeney"
"adeni";"adeni"
"adern";"adern"
"ades";"ades"
"adesman";"adesman"
"adet";"adet"
"adetia";"adetia"
"adex";"adex"
"adf";"adf"
"adfaal";"adfaal"
"adfinbureau";"adfinbureau"
"adg";"adg"
"adh";"adh"
"adha";"adha"
"adhaa";"adhaa"
"adhadirgha";"adhadirgha"
"adhamaski";"adhamaski"
"adhan";"adhan"
"adhani";"adhani"
"adhar";"adhar"
"adhayaksa";"adhayaksa"
"adhayati";"adhayati"
"adhe";"adhe"
"adheman";"adheman"
"adhi";"adhi"
"adhia";"adhia"
"adhianto";"adhianto"
"adhie";"adhie"
"adhika";"adhika"
"adhikarya";"adhikarya"
"adhillah";"adhillah"
"adhim";"adhim"
"adhimakayasa";"adhimakayasa"
"adhimas";"adhimas"
"adhinata";"adhinata"
"adhiningrat";"adhiningrat"
"adhinugroho";"adhinugroho"
"adhinusa";"adhinusa"
"adhit";"adhit"
"adhitira";"adhitira"
"adhitya";"adhitya"
"adhityo";"adhityo"
"adhiyaksa";"adhiyaksa"
"adhlha";"adhlha"
"adho";"adho"
"adhoc";"adhoc"
"adhva";"adhva"
"adhy";"adhy"
"adhya";"adhya"
"adhyaksa";"adhyaksa"
"adi";"adi"
"adia";"adia"
"adian";"adi"
"adiana";"adiana"
"adiantara";"adiantara"
"adianto";"adianto"
"adianty";"adianty"
"adiasa";"adiasa"
"adib";"adib"
"adicara";"adicara"
"adidas";"adidas"
"adidaya";"adidaya"
"adidayalah";"adidaya"
"adie";"adie"
"adief";"adief"
"adies";"adies"
"adifitrian";"adifitrian"
"adiguna";"adiguna"
"adiguno";"adiguno"
"adihidayatofficial";"adihidayatofficial"
"adii";"adi"
"adiilan";"adiilan"
"adijaya";"adijaya"
"adik";"adik"
"adika";"adika"
"adikan";"adi"
"adikara";"adikara"
"adikarini";"adikarini"
"adikarya";"adikarya"
