"word";"count"
"a";3122
"aa";318
"aaa";5
"aaab";1
"aaam";1
"aab";12
"aabi";1
"aac";5
"aacc";2
"aachen";7
"aacra";1
"aad";1
"aada";1
"aadc";1
"aadhil";1
"aadk";1
"aafaaka";1
"aafaani";1
"aafaanii";1
"aafaits";1
"aafihii";1
"aafiinii";1
"aafinii";1
"aafiyatan";2
"aagn";2
"aagym";5
"aah";6
"aahmad";1
"aai";1
"aaikum";1
"aaja";1
"aajd";3
"aakami";1
"aakan";1
"aakhir";1
"aakhirati";1
"aakhirohu";1
"aaktifitas";1
"aal";39
"aala";6
"aalaa";7
"aalaajadduka";1
"aalah";1
"aalamiin";6
"aalamiina";1
"aalat";1
"aali";4
"aalihi";2
"aalihii";2
"aalii";1
"aalima";1
"aam";119
"aamantu";1
"aamiiiin";1
"aamiin";56
"aamiinn";1
"aamin";2
"aampai";1
"aamun";2
"aan";69
"aana";1
"aanah";2
"aanda";1
"aang";6
"aanmaning";8
"aantar";1
"aanusia";1
"aap";29
"aapa";1
"aapsi";1
"aarah";1
"aarm";1
"aaron";1
"aas";23
"aasam";2
"aasan";1
"aat";2
"aatau";1
"aathar";2
"aathp";1
"aati";1
"aatin";1
"aatinaa";3
"aatinii";1
"aatu";1
"aau";11
"aauo";1
"aaupb";1
"aay";1
"aaya";1
"aazzahra";1
"ab";87
"aba";28
"abaalkhail";1
"abaamz";1
"abab";15
"ababa";36
"ababi";3
"ababs";1
"abacus";1
"abad";165
"abadan";1
"abadi";240
"abadikan";5
"abadiyyul";2
"abadnya";1
"abadul";2
"abady";2
"abagil";1
"abah";132
"abahnya";1
"abai";200
"abaidata";2
"abaikan";24
"abainya";1
"abak";1
"abakar";1
"abal";50
"abandon";1
"abang";828
"abangan";5
"abangnya";16
"abas";15
"abasa";1
"abasah";1
"abast";13
"abate";3
"abattoir";10
"abay";1
"abb";14
"abba";3
"abbad";1
"abbar";1
"abbas";237
"abbasiyah";6
"abbata";1
"abbd";1
"abbey";2
"abbit";1
"abbott";1
"abbudanaa";1
"abby";2
"abc";16
"abcd";1
"abcgm";1
"abd";29
"abda";1
"abdah";2
"abdal";3
"abdalla";2
"abdallah";1
"abdan";1
"abdar";1
"abdee";7
"abdel";2
"abdelaziz";1
"abdelkafi";1
"abdelmoneim";1
"abderahman";2
"abdi";252
"abdiansyah";1
"abdibraya";1
"abdiel";2
"abdil";1
"abdilah";4
"abdilhu";1
"abdillah";51
"abdimas";2
"abdipertiwi";1
"abdirrahman";1
"abdisatrijo";1
"abdiwijaya";2
"abdjad";1
"abdoellah";1
"abdollah";1
"abdomen";4
"abdorrahman";1
"abdsakur";1
"abdsurd";1
"abdu";6
"abduh";4
"abduhu";2
"abduk";3
"abduka";2
"abdul";2268
"abdulah";6
"abdulatip";1
"abdulaziz";44
"abdulbar";4
"abdulbasir";1
"abdulgani";2
"abdulhadi";1
"abdulkadir";4
"abdulkadirkarding";2
"abdull";1
"abdulla";1
"abdullah";792
"abdullatif";2
"abdulllah";3
"abdulloh";3
"abdulmadjid";1
"abdulmanan";1
"abdulmohsin";1
"abdulqawi";1
"abdulrachman";5
"abdulrahim";1
"abdulrahman";5
"abdur";11
"abdurachman";5
"abdurahman";55
"abdurahmansaleh";1
"abdurahmat";1
"abdurahmman";1
"abdurakhman";1
"abdurd";1
"abdurochim";2
"abdurohim";1
"abdurohman";3
"abdurouf";1
"abdurrab";1
"abdurrachman";1
"abdurrahim";8
"abdurrahmah";1
"abdurrahman";396
"abdurrais";2
"abdurrohim";2
"abdurrohman";1
"abdurrrahman";3
"abdus";3
"abdusalam";8
"abdussamad";1
"abdusshomad";19
"abdusyukur";1
"abdut";1
"abdy";1
"abdya";12
"abe";25
"abed";2
"abeder";1
"abee";2
"abegabriel";1
"abegebrel";1
"abegebriel";58
"abeidi";1
"abejaya";1
"abel";2
"abeli";4
"abelii";6
"abelux";3
"aben";3
"abeng";17
"abenk";1
"abepura";72
"abera";1
"aberasi";1
"aberdeen";1
"aberha";1
"abet";1
"abful";1
"abg";138
"abgcm";1
"abgi";1
"abh";5
"abha";21
"abham";1
"abhan";212
"abhisit";1
"abi";83
"abian";4
"abiansemal";5
"abid";35
"abideen";1
"abidin";123
"abie";3
"abiezer";1
"abik";1
"abikoesno";1
"abiku";1
"abil";1
"abilawa";1
"ability";2
"abilo";1
"abimana";1
"abimanyu";4
"abin";9
"abinya";1
"abioso";1
"abipraya";5
"abis";111
"abisai";20
"abisasi";1
"abisofyan";2
"abit";33
"abiy";2
"abiyasa";1
"abiyoso";1
"abiyu";1
"abizal";1
"abj";2
"abjad";10
"abjul";1
"abk";197
"abkar";1
"abl";2
"able";1
"ableh";1
"ablum";1
"abm";2
"abn";5
"abner";2
"abnormal";6
"abnormalitas";1
"abnul";1
"abnur";38
"abo";3
"abock";2
"abod";1
"aboe";14
"abok";2
"abolhassan";1
"abolisi";19
"abon";8
"abonella";1
"aborisi";1
"aborsi";73
"aborsinya";2
"abort";2
"aborted";6
"abortus";2
"aboru";1
"abou";1
"abouammo";1
"about";12
"aboutislam";1
"abp";7
"abpbd";6
"abpd";9
"abpdesa";1
"abpn";2
"abr";1
"abraham";148
"abrakadabra";1
"abrakadraba";1
"abral";2
"abraldani";1
"abrams";1
"abrar";23
"abrasi";19
"abrati";4
"abraw";1
"abreiu";1
"abrek";4
"abri";152
"abrianto";3
"abriari";1
"abrijani";9
"abrik";16
"abrin";4
"abrip";1
"abripda";1
"abriptu";1
"abriyadi";1
"abriyanto";1
"abroad";5
"abror";6
"abrus";1
"abs";37
"absah";58
"absar";4
"absen";203
"absennya";34
"absensi";52
"absensinya";1
"absentia";7
"abshar";3
"absolut";59
"absolute";2
"absolutnya";4
"absorb";1
"abstain";13
"abstrak";19
"abstraksi";12
"abstraksinya";1
"absurd";18
"abswedan";1
"abt";5
"abtar";2
"abu";1155
"abua";2
"abuan";3
"abuba";1
"abubakar";34
"abudance";1
"abudllah";1
"abudrrahman";2
"abudurekefu";1
"abudzar";1
"abuja";5
"abukasim";1
"abukasu";1
"abukhiori";1
"abukhoiri";1
"abuki";1
"abukun";2
"abul";4
"abulah";1
"abullatif";1
"abulyatama";2
"abumanan";5
"abun";11
"abunaim";2
"abunawas";14
"abunaws";1
"abundance";1
"abung";1
"abunya";9
"abunyo";2
"aburizal";68
"aburizalbakrie";1
"aburrahman";2
"abusama";1
"abuse";31
"abuserin";1
"abussalam";1
"abusyari";1
"abutmen";1
"abutuh";1
"abuu";1
"abuya";15
"abuyarman";2
"abuzar";1
"abuzi";2
"abw";3
"abwaaba";1
"abwaba";1
"abyadhu";2
"abyadi";4
"abyoto";2
"abypraya";1
"abziwarti";1
"ac";140
"aca";3
"acacia";2
"academia";4
"academic";9
"academica";1
"academy";31
"acah";1
"acak";212
"acakan";8
"acaman";2
"acamm";1
"acan";3
"acang";1
"acantophis";1
"acap";26
"acapkali";6
"acar";10
"acara";6552
"acarakan";1
"acaranya";148
"acarapun";1
"acc";18
"acca";2
"acce";1
"accelerate";1
"acceleration";1
"accelerator";3
"acceptability";1
"acceptance";3
"accepted";1
"access";16
"accessibility";2
"accessible";1
"accessment";1
"accessnya";1
"acch";2
"accident";16
"accidental";1
"accompli";1
"accord";7
"account";11
"accountabilitas";1
"accountabilities";1
"accountability";2
"accountabiliy";1
"accountable";2
"accountant";2
"accountants";2
"accounting";5
"accountnya";1
"accounts";1
"accreditation";2
"accu";1
"accurate";1
"acd";1
"ace";767
"aceg";1
"aceh";1998
"acehnese";1
"acehnya";1
"acena";2
"aceng";14
"acep";21
"acer";2
"acf";4
"acffest";4
"ach";1
"acha";1
"achamad";3
"achamd";2
"achari";1
"achdar";1
"achdian";3
"achdiat";2
"acheton";1
"achi";2
"achieng";1
"achieve";1
"achievement";6
"achieving";1
"achirina";1
"achjani";2
"achmad";670
"achmadi";10
"achmadzaky";8
"achmar";2
"achmat";5
"achmed";3
"acho";1
"achropoles";1
"achsanul";10
"achsin";1
"achwani";1
"achy";1
"achyadi";1
"achyani";1
"achyar";4
"achyarsyah";1
"achzaab";1
"achzaabi";3
"aci";6
"acian";1
"aciar";1
"acid";4
"acidity";1
"acih";1
"acil";2
"acinonyx";1
"acip";1
"acjc";1
"ack";3
"acknowledge";1
"acl";1
"aclc";85
"acmad";2
"aco";15
"acon";1
"acong";3
"acp";2
"acpa";1
"acpacc";1
"acquaintance";1
"acquired";1
"acquisition";22
"acquistion";3
"acquital";1
"acquitted";1
"acr";3
"acrative";1
"acrc";1
"across";16
"acrux";1
"act";113
"acta";50
"actaea";1
"actie";1
"acting";8
"action";96
"actionaid";1
"actionnya";2
"actions";1
"activation";2
"activism";4
"activist";4
"activities";2
"activity";7
"actnow";3
"acton";2
"actor";4
"actori";1
"actors";2
"actual";2
"actuating";1
"actus";3
"acu";397
"acua";1
"acuadra";1
"acuan";186
"acuandra";5
"acuannya";10
"acuh";17
"acuhnya";1
"acun";5
"acung";207
"acungan";20
"acungi";9
"acungkan";23
"acungkannya";1
"acus";1
"acxeptance";1
"ad";766
"ada";50308
"adaa";4
"adaah";2
"adaalah";1
"adaan";1
"adaapaditps";6
"adaaya";1
"adab";205
"adabnya";4
"adada";1
"adaftif";1
"adagium";16
"adah";6
"adai";2
"adaji";1
"adajuga";1
"adakah";94
"adakalanya";1
"adakan";118
"adakandidatnya";1
"adala";4
"adalag";5
"adalah";25683
"adalaha";1
"adalahh";2
"adalahkuhp";1
"adalahpengelola";1
"adalaiu";1
"adalalah";2
"adalam";1
"adalan";1
"adalet";1
"adam";208
"adamas";24
"adami";9
"adams";42
"adamski";1
"adamskyofficial";2
"adamyati";2
"adan";5
"adana";1
"adanaya";1
"adang";17
"adania";1
"adanna";1
"adannya";1
"adanua";1
"adanya";9282
"adanyalah";1
"adapaun";6
"adaptasi";94
"adaptasinya";2
"adaptif";26
"adaptor";1
"adapu";1
"adapula";7
"adapun";2556
"adapunsandiaga";1
"adar";1
"adara";1
"adarma";1
"adaro";3
"adart";2
"adas";1
"adat";736
"adati";1
"adatlah";2
"adatnya";12
"adatrecht";1
"adaud";1
"adawi";1
"adawia";1
"adawiyah";5
"adaya";4
"adb";6
"adc";8
"adca";2
"adcp";1
"add";13
"addani";1
"addarqutni";1
"addaruqutni";3
"adde";7
"added";5
"addendum";3
"adder";4
"addi";3
"addie";22
"addiems";6
"addiniyah";1
"addiqal";1
"addis";37
"additional";2
"addres";1
"address";15
"addressed";1
"addressing";3
"addud";1
"ade";685
"adedanmas";1
"adefri";1
"adegan";143
"adegannya";2
"adeging";1
"adek";22
"adeka";1
"adekku";2
"adeknya";1
"adel";7
"adela";2
"adelaide";12
"adeleus";1
"adelia";4
"adelin";1
"adelina";3
"adeline";1
"adelis";2
"adella";1
"adellawibawa";3
"adelle";24
"adem";77
"ademnya";1
"ademokrasi";1
"aden";43
"adenan";2
"adendum";16
"adeney";1
"adeni";2
"adern";1
"ades";2
"adesman";2
"adet";7
"adetia";2
"adex";3
"adf";3
"adfaal";2
"adfinbureau";1
"adg";1
"adh";2
"adha";181
"adhaa";1
"adhadirgha";2
"adhamaski";1
"adhan";1
"adhani";2
"adhar";7
"adhayaksa";1
"adhayati";1
"adhe";1
"adheman";1
"adhi";191
"adhia";1
"adhianto";23
"adhie";4
"adhika";3
"adhikarya";2
"adhillah";1
"adhim";1
"adhimakayasa";1
"adhimas";7
"adhinata";4
"adhiningrat";1
"adhinugroho";16
"adhinusa";2
"adhit";1
"adhitira";13
"adhitya";13
"adhityo";6
"adhiyaksa";4
"adhlha";1
"adho";1
"adhoc";16
"adhva";1
"adhy";5
"adhya";1
"adhyaksa";65
"adi";810
"adia";3
"adian";50
"adiana";1
"adiantara";6
"adianto";55
"adianty";1
"adiasa";1
"adib";11
"adicara";1
"adidas";5
"adidaya";11
"adidayalah";1
"adie";2
"adief";1
"adies";49
"adifitrian";12
"adiguna";3
"adiguno";3
"adihidayatofficial";1
"adii";5
"adiilan";1
"adijaya";1
"adik";934
"adika";1
"adikan";3
"adikara";1
"adikarini";1
